from_id	message	date
channel1228673426	Кто откладывает чаще — zумеры или миллениалы?\n\nРазбираем в свежей аналитике, подготовленной специально ко Дню молодёжи дивизионами «Инвестиции и накопления» и «Сбербанк страхование жизни».	2020-06-27 12:00:06
channel1228673426	Нашему телеграм-каналу всего несколько недель, но вас тут уже больше 6 тысяч человек. Спасибо, что активно на нас подписываетесь 💚 \n\nНе секрет, что сейчас мы находимся в процессе формирования нашей «редакционной политики» и вашего читательского интереса, обдумывания рубрик и тем, поиска правильной интонации. Поэтому сегодня у нас опрос.	2020-06-30 16:01:23
channel1228673426	Сегодня некоторые наши клиенты заметили сбои в работе приложения Сбербанк Онлайн. Проблемы наблюдались всего несколько минут — мы оперативно их устранили. Сейчас всё работает в обычном режиме. Приносим извинения за неудобства.	2020-07-27 13:53:28
channel1228673426	Сегодня ряд клиентов могли столкнуться с затруднениями при оплате в интернете и при использовании банкоматов и приложения Сбербанк Онлайн. \n\nСбой произошёл по техническим причинам. Специалисты банка оперативно устранили затруднения. В настоящее время все системы банка работают в штатном режиме. Приносим свои извинения за доставленные неудобства.	2020-08-21 12:38:05
channel1228673426	Сегодня в приложении Сбербанк Онлайн могли наблюдаться сбои: некоторое время не отображалась информация о картах и вкладах. \n\nСпециалисты оперативно решили проблему. Сейчас всё работает как надо. Приносим извинения за доставленные неудобства.	2020-08-22 19:57:13
channel1228673426	Сегодня днем в Сбербанк Онлайн у части клиентов могли наблюдаться затруднения при совершении переводов по вкладам. Наши специалисты уже всё исправили, и операции совершаются в штатном режиме. Приносим извинения за доставленные неудобства.	2020-09-11 14:39:23
channel1228673426	Представлен новый бренд Сбер — бренд вселенной сервисов	2020-09-24 10:10:01
channel1228673426	Сбер создал семейство виртуальных ассистентов Салют	2020-09-24 10:15:05
channel1228673426	Сбер представил новый формат своих отделений — не банка, а городского пространства для решения насущных задач	2020-09-24 10:17:12
channel1228673426	Сбер представил умный банкомат, не имеющий в мире аналогов	2020-09-24 10:22:05
channel1228673426	В приложении «Ситимобил» можно будет забронировать самокат или велосипед\n\nПостаматы для получения посылок появятся в отделениях Сбера	2020-09-24 10:31:26
channel1228673426	Школьная цифровая платформа СберКласс уже используется в 65 регионах России	2020-09-24 10:34:56
channel1228673426	Сбер создал комплексные решения для предпринимателей — все нужные сервисы для старта под рукой в Сбер Бизнес Онлайн	2020-09-24 10:40:59
channel1228673426	СберМаркет в 2021 году предложит клиентам подписаться на часто покупаемые продукты питания	2020-09-24 10:47:49
channel1228673426	Семейство Салют — это 3 виртуальных помощника с разными характерами. Знакомьтесь, Сбер, Афина и Джой	2020-09-24 10:59:18
channel1228673426	Сбер представил ТВ-приставку SberBox с виртуальным ассистентом Салют	2020-09-24 11:01:01
channel1228673426	Сбер создал SberPortal — первый в мире смарт-дисплей с виртуальным ассистентом, мощной камерой и акустикой Harman/Kardon	2020-09-24 11:07:08
channel1228673426	Сбер запустил платформу SmartMarket, магазин умных приложений — навыков для виртуального ассистента Салют	2020-09-24 11:13:02
channel1228673426	Сбер представил самую выгодную подписку на сервисы экосистемы СберПрайм	2020-09-24 11:25:05
channel1228673426	Годовая подписка СберПрайм будет стоить 999 рублей	2020-09-24 11:31:20
channel1228673426	Видеокомментарий Николая Минко, стратега по рынкам валют и процентных ставок SberCIB Investment Research, о динамике ключевой ставки Банка России по итогам ближайшего заседания регулятора.	2021-02-12 10:43:35
